"Country or Area","Year","Item","Value"
"Syrian Arab Republic","2016","Gross Domestic Product (GDP)","30365807406.2886"
"Syrian Arab Republic","2015","Gross Domestic Product (GDP)","31434583236.3503"
"Syrian Arab Republic","2014","Gross Domestic Product (GDP)","33193857694.1158"
"Syrian Arab Republic","2013","Gross Domestic Product (GDP)","33061611249.1074"
"Syrian Arab Republic","2012","Gross Domestic Product (GDP)","43964908575.9665"
"Syrian Arab Republic","2011","Gross Domestic Product (GDP)","56655810020.5754"
"Syrian Arab Republic","2010","Gross Domestic Product (GDP)","60465112081.724"
"Syrian Arab Republic","2009","Gross Domestic Product (GDP)","58454549384.7479"
"Syrian Arab Republic","2008","Gross Domestic Product (GDP)","55191365397.9246"
"Syrian Arab Republic","2007","Gross Domestic Product (GDP)","52826537192.791"
"Syrian Arab Republic","2006","Gross Domestic Product (GDP)","49989738959.8343"
"Syrian Arab Republic","2005","Gross Domestic Product (GDP)","47588418650.9106"
"Syrian Arab Republic","2004","Gross Domestic Product (GDP)","44803704976.4637"
"Syrian Arab Republic","2003","Gross Domestic Product (GDP)","41910749221.8911"
"Syrian Arab Republic","2002","Gross Domestic Product (GDP)","41664561229.6933"
"Syrian Arab Republic","2001","Gross Domestic Product (GDP)","38628928343.2788"
"Syrian Arab Republic","2000","Gross Domestic Product (GDP)","37217132363.9575"
"Syrian Arab Republic","1999","Gross Domestic Product (GDP)","36967365101.1512"
"Syrian Arab Republic","1998","Gross Domestic Product (GDP)","38329462702.3684"
"Syrian Arab Republic","1997","Gross Domestic Product (GDP)","35893954187.9774"
"Syrian Arab Republic","1996","Gross Domestic Product (GDP)","34176932821.939"
"Syrian Arab Republic","1995","Gross Domestic Product (GDP)","31119248337.2929"
"Syrian Arab Republic","1994","Gross Domestic Product (GDP)","29076225358.5915"
"Syrian Arab Republic","1993","Gross Domestic Product (GDP)","27120051118.4479"
"Syrian Arab Republic","1992","Gross Domestic Product (GDP)","25784666562.6588"
"Syrian Arab Republic","1991","Gross Domestic Product (GDP)","22723707341.1277"
"Syrian Arab Republic","1990","Gross Domestic Product (GDP)","21059721718.551"
"Syrian Arab Republic","1989","Gross Domestic Product (GDP)","20136048290.3625"
"Syrian Arab Republic","1988","Gross Domestic Product (GDP)","24266785939.6326"
"Syrian Arab Republic","1987","Gross Domestic Product (GDP)","21424547971.0708"
"Syrian Arab Republic","1986","Gross Domestic Product (GDP)","21023525334.8392"
"Syrian Arab Republic","1985","Gross Domestic Product (GDP)","22117368390.3236"
"Syrian Arab Republic","1984","Gross Domestic Product (GDP)","20842812682.2985"
"Syrian Arab Republic","1983","Gross Domestic Product (GDP)","21727507417.918"
"Syrian Arab Republic","1982","Gross Domestic Product (GDP)","21421358924.2692"
"Syrian Arab Republic","1981","Gross Domestic Product (GDP)","20976221140.5132"
"Syrian Arab Republic","1980","Gross Domestic Product (GDP)","19155009658.6152"
"Syrian Arab Republic","1979","Gross Domestic Product (GDP)","17105249822.112"
"Syrian Arab Republic","1978","Gross Domestic Product (GDP)","16505709021.9795"
"Syrian Arab Republic","1977","Gross Domestic Product (GDP)","15180925826.7168"
"Syrian Arab Republic","1976","Gross Domestic Product (GDP)","15376786451.5957"
"Syrian Arab Republic","1975","Gross Domestic Product (GDP)","13857737154.8754"
"Syrian Arab Republic","1974","Gross Domestic Product (GDP)","11594045428.2432"
"Syrian Arab Republic","1973","Gross Domestic Product (GDP)","9340452349.83655"
"Syrian Arab Republic","1972","Gross Domestic Product (GDP)","10213188159.9194"
"Syrian Arab Republic","1971","Gross Domestic Product (GDP)","8168743401.41874"
"Syrian Arab Republic","1970","Gross Domestic Product (GDP)","7431807834.60043"

