Country or Area,Year,Item,Value
Armenia,1992,Gross Domestic Product (GDP),3428155234
Azerbaijan,1992,Gross Domestic Product (GDP),17461866835
Belarus,1992,Gross Domestic Product (GDP),28254823207
Georgia,1992,Gross Domestic Product (GDP),7331315439
Kazakhstan,1992,Gross Domestic Product (GDP),81205775886
Kyrgyzstan,1992,Gross Domestic Product (GDP),3818113566
Latvia,1992,Gross Domestic Product (GDP),15036110349
Republic of Moldova,1992,Gross Domestic Product (GDP),5928874151
Russian Federation,1992,Gross Domestic Product (GDP),1.14994E+12
Tajikistan,1992,Gross Domestic Product (GDP),4505483277
Turkmenistan,1992,Gross Domestic Product (GDP),11096839670
Ukraine,1992,Gross Domestic Product (GDP),1.76684E+11
Uzbekistan,1992,Gross Domestic Product (GDP),18109642379
