"Country or Area","Year","Item","Value"
"Venezuela (Bolivarian Republic of)","2016","Gross Domestic Product (GDP)","330663347718.298"
"Venezuela (Bolivarian Republic of)","2015","Gross Domestic Product (GDP)","395793764095.743"
"Venezuela (Bolivarian Republic of)","2014","Gross Domestic Product (GDP)","422051130869.573"
"Venezuela (Bolivarian Republic of)","2013","Gross Domestic Product (GDP)","439153569820.373"
"Venezuela (Bolivarian Republic of)","2012","Gross Domestic Product (GDP)","433333367898.464"
"Venezuela (Bolivarian Republic of)","2011","Gross Domestic Product (GDP)","410252964835.689"
"Venezuela (Bolivarian Republic of)","2010","Gross Domestic Product (GDP)","393805672595.65"
"Venezuela (Bolivarian Republic of)","2009","Gross Domestic Product (GDP)","399757125433.838"
"Venezuela (Bolivarian Republic of)","2008","Gross Domestic Product (GDP)","412982419374.236"
"Venezuela (Bolivarian Republic of)","2007","Gross Domestic Product (GDP)","392278645806.246"
"Venezuela (Bolivarian Republic of)","2006","Gross Domestic Product (GDP)","360703626989.841"
"Venezuela (Bolivarian Republic of)","2005","Gross Domestic Product (GDP)","328293824119.894"
"Venezuela (Bolivarian Republic of)","2004","Gross Domestic Product (GDP)","297588871861.408"
"Venezuela (Bolivarian Republic of)","2003","Gross Domestic Product (GDP)","251583308755.113"
"Venezuela (Bolivarian Republic of)","2002","Gross Domestic Product (GDP)","272734464478.594"
"Venezuela (Bolivarian Republic of)","2001","Gross Domestic Product (GDP)","299233742215.43"
"Venezuela (Bolivarian Republic of)","2000","Gross Domestic Product (GDP)","289410387346.991"
"Venezuela (Bolivarian Republic of)","1999","Gross Domestic Product (GDP)","279119186470.523"
"Venezuela (Bolivarian Republic of)","1998","Gross Domestic Product (GDP)","296842294068.807"
"Venezuela (Bolivarian Republic of)","1997","Gross Domestic Product (GDP)","295972227510.888"
"Venezuela (Bolivarian Republic of)","1996","Gross Domestic Product (GDP)","278245403401.78"
"Venezuela (Bolivarian Republic of)","1995","Gross Domestic Product (GDP)","278796968011.396"
"Venezuela (Bolivarian Republic of)","1994","Gross Domestic Product (GDP)","268198661386.144"
"Venezuela (Bolivarian Republic of)","1993","Gross Domestic Product (GDP)","274651622916.962"
"Venezuela (Bolivarian Republic of)","1992","Gross Domestic Product (GDP)","273897342318.57"
"Venezuela (Bolivarian Republic of)","1991","Gross Domestic Product (GDP)","258246388953.401"
"Venezuela (Bolivarian Republic of)","1990","Gross Domestic Product (GDP)","235347355032.795"
"Venezuela (Bolivarian Republic of)","1989","Gross Domestic Product (GDP)","221049973695.717"
"Venezuela (Bolivarian Republic of)","1988","Gross Domestic Product (GDP)","241769318738.341"
"Venezuela (Bolivarian Republic of)","1987","Gross Domestic Product (GDP)","228469280364.852"
"Venezuela (Bolivarian Republic of)","1986","Gross Domestic Product (GDP)","220569261273.269"
"Venezuela (Bolivarian Republic of)","1985","Gross Domestic Product (GDP)","207087172134.908"
"Venezuela (Bolivarian Republic of)","1984","Gross Domestic Product (GDP)","206687644515.108"
"Venezuela (Bolivarian Republic of)","1983","Gross Domestic Product (GDP)","209524373687.635"
"Venezuela (Bolivarian Republic of)","1982","Gross Domestic Product (GDP)","221993737184.454"
"Venezuela (Bolivarian Republic of)","1981","Gross Domestic Product (GDP)","220489366935.274"
"Venezuela (Bolivarian Republic of)","1980","Gross Domestic Product (GDP)","221157004118.313"
"Venezuela (Bolivarian Republic of)","1979","Gross Domestic Product (GDP)","225643875853.038"
"Venezuela (Bolivarian Republic of)","1978","Gross Domestic Product (GDP)","222670120709.802"
"Venezuela (Bolivarian Republic of)","1977","Gross Domestic Product (GDP)","218008322199.456"
"Venezuela (Bolivarian Republic of)","1976","Gross Domestic Product (GDP)","204276570489.539"
"Venezuela (Bolivarian Republic of)","1975","Gross Domestic Product (GDP)","187804299330.16"
"Venezuela (Bolivarian Republic of)","1974","Gross Domestic Product (GDP)","177060879998.309"
"Venezuela (Bolivarian Republic of)","1973","Gross Domestic Product (GDP)","166938450716.388"
"Venezuela (Bolivarian Republic of)","1972","Gross Domestic Product (GDP)","157110481496.179"
"Venezuela (Bolivarian Republic of)","1971","Gross Domestic Product (GDP)","152154222917.064"
"Venezuela (Bolivarian Republic of)","1970","Gross Domestic Product (GDP)","147620704042.173"

